term,estimate,std.error,t_stat,p.value,ci_low95,ci_hi95,nobs,period,sample,income_group,outcome
port_treat,0.001107781217148053,0.0004575308313974329,2.421216541330265,0.01546865974804917,0.00021102078760908453,0.0020045416466870215,126594,Period1_2019,All,<$25k,cus_.25k
port_treat,0.0011220564252317545,0.000454108636290156,2.4708986695307167,0.013477400155439865,0.00023200349810304876,0.00201210935236046,126594,Period1_2019,All,$25-45k,cus_25.45k
port_treat,0.0007796727237086099,0.0004688648122680879,1.6628945131050012,0.09633355291985501,-0.0001393023083368424,0.0016986477557540622,126594,Period1_2019,All,$45-60k,cus_45.60k
port_treat,0.0015992699046037404,0.0004820939804230624,3.3173405384574566,0.0009087877540850565,0.0006543657029745381,0.0025441741062329428,126594,Period1_2019,All,$60-75k,cus_60.75k
port_treat,0.001008585964993254,0.00046514843497292733,2.1683099182134318,0.030135114312530117,9.689503244631641e-05,0.0019202768975401913,126594,Period1_2019,All,$75-100k,cus_75.100k
port_treat,0.001154252719339283,0.00045833258245637256,2.5183736952612423,0.011789815993911181,0.00025592085772479275,0.002052584580953773,126594,Period1_2019,All,$100-150k,cus_100.150k
port_treat,0.0013912438998226041,0.0004687611723794081,2.9679162477572967,0.002998260142723595,0.0004724720019589643,0.0023100157976862438,126594,Period1_2019,All,>$150k,cus_.150k
port_treat,0.0005839145165467589,0.0016578990834371476,0.3522014834197208,0.724687164529453,-0.00266556768699005,0.003833396720083568,20990,Period1_2019,Disadvantaged,<$25k,cus_.25k
port_treat,0.0012018531027682307,0.00146387950503484,0.8210054848330066,0.4116431440333719,-0.0016673507271000557,0.004071056932636517,20990,Period1_2019,Disadvantaged,$25-45k,cus_25.45k
port_treat,-0.0014264706952953554,0.0014763782438779172,-0.9661959604257832,0.3339461338619293,-0.004320172053296073,0.001467230662705362,20990,Period1_2019,Disadvantaged,$45-60k,cus_45.60k
port_treat,-0.002648141152480668,0.001675596738987362,-1.5804167499639907,0.11401145815046687,-0.005932310760895898,0.0006360284559345617,20990,Period1_2019,Disadvantaged,$60-75k,cus_60.75k
port_treat,0.0010513151332320495,0.0016127874983144334,0.6518621543946779,0.5144901011791247,-0.0021097483634642403,0.004212378629928339,20990,Period1_2019,Disadvantaged,$75-100k,cus_75.100k
port_treat,-0.0011396946647790483,0.0016056423833300507,-0.7098060418755004,0.47782442188397367,-0.004286753736105948,0.0020073644065478507,20990,Period1_2019,Disadvantaged,$100-150k,cus_100.150k
port_treat,-0.00029191926792760374,0.001778746642364876,-0.16411514769719635,0.8696404973559181,-0.0037782626869627607,0.0031944241511075535,20990,Period1_2019,Disadvantaged,>$150k,cus_.150k
port_treat,0.0003720361340319715,0.00025735355111413825,1.4456226946212631,0.1482830576705642,-0.00013237682615173943,0.0008764490942156824,700808,Period2_2021_2023,All,<$25k,cus_.25k
port_treat,0.0004354621953596786,0.00026227319791074144,1.6603381467437552,0.09684644571754271,-7.859327254537457e-05,0.0009495176632647317,700808,Period2_2021_2023,All,$25-45k,cus_25.45k
port_treat,-7.371822220512631e-06,0.00024884211588264076,-0.029624495814805477,0.9763665290497184,-0.0004951023693504885,0.00048035872490946325,700808,Period2_2021_2023,All,$45-60k,cus_45.60k
port_treat,0.00038632412356349945,0.00023562971729788415,1.6395390530266043,0.10110104428411394,-7.551012234035349e-05,0.0008481583694673524,700808,Period2_2021_2023,All,$60-75k,cus_60.75k
port_treat,0.0006051283999211867,0.0002627620327633995,2.3029521942618945,0.02128153299618047,9.011481570492361e-05,0.0011201419841374498,700808,Period2_2021_2023,All,$75-100k,cus_75.100k
port_treat,0.000750578214394061,0.0002713585757508404,2.76600145146412,0.005674828222148182,0.00021871540592241381,0.001282441022865708,700808,Period2_2021_2023,All,$100-150k,cus_100.150k
port_treat,0.0013690718851371506,0.000272813670453436,5.018340477079665,5.211974578937776e-07,0.0008343570910484161,0.001903786679225885,700808,Period2_2021_2023,All,>$150k,cus_.150k
port_treat,0.00013567890817840588,0.0006531860673061391,0.20771861950144,0.8354486785055923,-0.0011445657837416267,0.0014159236000984385,94396,Period2_2021_2023,Disadvantaged,<$25k,cus_.25k
port_treat,-0.0003828560289632765,0.0006807222010461585,-0.5624262413872936,0.5738256442614794,-0.001717071543013747,0.0009513594850871941,94396,Period2_2021_2023,Disadvantaged,$25-45k,cus_25.45k
port_treat,-0.0001250956563695648,0.0006553188682244883,-0.1908928041527283,0.8486095779622823,-0.001409520638089562,0.0011593293253504323,94396,Period2_2021_2023,Disadvantaged,$45-60k,cus_45.60k
port_treat,0.00013674392308995066,0.0007148245727299319,0.19129717738678512,0.8482927723766516,-0.001264312239460716,0.0015378000856406172,94396,Period2_2021_2023,Disadvantaged,$60-75k,cus_60.75k
port_treat,0.0011208616562392876,0.0007035038905339582,1.5932558033027446,0.11110281716328889,-0.0002580059692072704,0.0024997292816858457,94396,Period2_2021_2023,Disadvantaged,$75-100k,cus_75.100k
port_treat,0.0010695124351981617,0.0007910146544671103,1.3520766387301248,0.1763507997383621,-0.0004808762875573745,0.002619901157953698,94396,Period2_2021_2023,Disadvantaged,$100-150k,cus_100.150k
port_treat,0.0013205760744347409,0.0007555235781038804,1.7478952513288324,0.08048216728493747,-0.00016025013864886476,0.0028014022875183465,94396,Period2_2021_2023,Disadvantaged,>$150k,cus_.150k
