term,estimate,std.error,t_stat,p.value,ci_low95,ci_hi95,nobs,dataset,model,outcome,pre_window,post_window,n_stacks,n_original_pois,n_stacked_rows,pct_effect,pct_ci_low95,pct_ci_hi95,target,spec,max_control_pois,competition_radius_m
competitor_port_treat,1.5995646869806014e-07,6.4033038006349575e-06,0.024980302930839967,0.9800706746902883,-1.2390518980546457e-05,1.2710431917942576e-05,8451539,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lcus,6,12,71,81558,8451539,1.5995648149109675e-05,-0.0012390442218383193,0.0012710512695824586,spatial,spatial_radius_1000m,10000,1000
competitor_port_treat_level2,7.756649082300064e-06,6.523886702889968e-06,1.1889613409233493,0.23445487996698477,-5.030168855364272e-06,2.05434670199644e-05,8451539,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,12,71,81558,8451539,0.0007756679165180338,-0.0005030156204086128,0.0020543678038428014,spatial,spatial_radius_1000m,10000,1000
competitor_port_treat_dc,-6.548211070832188e-05,1.6229638281519547e-05,-4.034723976743549,5.466652263722456e-05,-9.72922017401002e-05,-3.3672019676543576e-05,8451539,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,12,71,81558,8451539,-0.006547996680170658,-0.009728746900732771,-0.0033671452780451886,spatial,spatial_radius_1000m,10000,1000
competitor_port_treat,5.018790443506873e-07,7.319193963185018e-06,0.06857026154452256,0.9453316909816054,-1.3843741123491947e-05,1.4847499212193322e-05,8451539,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lspend,6,12,71,81558,8451539,5.0187917029199605e-05,-0.001384364529934999,0.001484760943685527,spatial,spatial_radius_1000m,10000,1000
competitor_port_treat_level2,6.432891020815168e-06,7.68805119275128e-06,0.8367388379099835,0.40273938324315806,-8.63568931697734e-06,2.1501471358607676e-05,8451539,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,12,71,81558,8451539,0.0006432911711902979,-0.0008635652029519684,0.0021501702516899717,spatial,spatial_radius_1000m,10000,1000
competitor_port_treat_dc,-5.07472508585371e-05,1.9993873768193914e-05,-2.538140004628088,0.011144339176970558,-8.993524344419717e-05,-1.1559258272877032e-05,8451539,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,12,71,81558,8451539,-0.00507459632385834,-0.008993119939142568,-0.001155919146490854,spatial,spatial_radius_1000m,10000,1000
competitor_port_treat,-4.5392826198252975e-05,1.3124100719327643e-05,-3.4587380247245223,0.0005427124984512774,-7.111606360813516e-05,-1.9669588788370796e-05,8302122,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lcus,6,12,71,77323,8302122,-0.004539179595950639,-0.007111353492082738,-0.0019669395343277574,spatial,spatial_radius_1500m,10000,1500
competitor_port_treat_level2,-3.323880636022207e-05,1.6925878477539584e-05,-1.9637861871884243,0.049554892600498265,-6.641352817619967e-05,-6.408454424448737e-08,8302122,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,12,71,77323,8302122,-0.003323825395721837,-0.006641132284665878,-6.4084542191073e-06,spatial,spatial_radius_1500m,10000,1500
competitor_port_treat_dc,-6.801745592480156e-05,1.0866444072423938e-05,-6.259403303552746,3.864532660554228e-10,-8.931568630675247e-05,-4.671922554285064e-05,8302122,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,12,71,77323,8302122,-0.006801514279009113,-0.008931169777958914,-0.004671813421682835,spatial,spatial_radius_1500m,10000,1500
competitor_port_treat,-3.674357641598618e-05,8.069641756295487e-06,-4.553309493240004,5.280849377415531e-06,-5.256007425832533e-05,-2.0927078573647027e-05,8302122,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lspend,6,12,71,77323,8302122,-0.003674290137905004,-0.005255869300182206,-0.002092685960386568,spatial,spatial_radius_1500m,10000,1500
competitor_port_treat_level2,-2.926744965932151e-05,9.937155262259399e-06,-2.9452543395872235,0.0032268928302960124,-4.874427397334993e-05,-9.790625345293088e-06,8302122,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,12,71,77323,8302122,-0.0029267021371695034,-0.004874308599052987,-0.0009790577417277178,spatial,spatial_radius_1500m,10000,1500
competitor_port_treat_dc,-5.0660338270284104e-05,1.2948862412569579e-05,-3.9123389110311075,9.140650978279834e-05,-7.604010859892048e-05,-2.528056794164773e-05,8302122,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,12,71,77323,8302122,-0.0050659055057016705,-0.007603721762313978,-0.002528024839078282,spatial,spatial_radius_1500m,10000,1500
competitor_port_treat,-6.155636039565756e-05,5.915414948354722e-06,-10.406093390418619,2.3257067051017903e-25,-7.315057369443282e-05,-4.996214709688231e-05,8101387,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lcus,6,12,71,73549,8101387,-0.006155446584177914,-0.007314789825645392,-0.004996089900959684,spatial,spatial_radius_2000m,10000,2000
competitor_port_treat_level2,-5.325828486637465e-05,8.00615199395545e-06,-6.652170094520317,2.888026510202813e-11,-6.895034277452733e-05,-3.7566226958221963e-05,8101387,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,12,71,73549,8101387,-0.005325686666909822,-0.006894796575427541,-0.0037565521356353656,spatial,spatial_radius_2000m,10000,2000
competitor_port_treat_dc,-7.821481147341362e-05,9.198960259397421e-06,-8.50257086321374,1.854373910771362e-17,-9.624477358183257e-05,-6.018484936499467e-05,8101387,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,12,71,73549,8101387,-0.00782117527747924,-0.009624014220219487,-0.006018303829328134,spatial,spatial_radius_2000m,10000,2000
competitor_port_treat,-5.343089817998189e-05,7.223022162827671e-06,-7.397305030428529,1.3897606573977462e-13,-6.758802161912412e-05,-3.927377474083965e-05,8101387,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lspend,6,12,71,73549,8101387,-0.005342947077496435,-0.0067585737600248654,-0.0039273003536244525,spatial,spatial_radius_2000m,10000,2000
competitor_port_treat_level2,-4.594968064040391e-05,9.898110358579726e-06,-4.64226796588245,3.4460553414956354e-06,-6.534997694322017e-05,-2.6549384337587647e-05,8101387,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,12,71,73549,8101387,-0.004594862496999774,-0.006534784167999032,-0.0026549031905802253,spatial,spatial_radius_2000m,10000,2000
competitor_port_treat_dc,-6.844950049871364e-05,1.0908300412897996e-05,-6.2749922451511155,3.49651720041437e-10,-8.98297693079937e-05,-4.706923168943357e-05,8101387,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,12,71,73549,8101387,-0.0068447157885104925,-0.00898257347350759,-0.004706812395052786,spatial,spatial_radius_2000m,10000,2000
